preostali_faktor_prijetnji,broj_iteracija,p80,vjerojatnost_zavrsetka_u_roku,ocekivano_kasnjenje
0.6,20000,36.45483971638419,0.6374,0.22916702006930864
0.7,20000,36.87546872675047,0.51955,0.41024378315285703
0.8,20000,37.36115482678539,0.40595,0.6517719642212739
