pokazatelj,vrijednost
broj_iteracija,50000
sjeme,42
rok,36.0
prosjecni_zavrsetak,37.37020821993393
najraniji_zavrsetak,35.01607151176014
najkasniji_zavrsetak,45.69621664344376
varijanca,1.9046649959279687
standardna_devijacija,1.3800960096775763
standardna_pogreska_prosjeka,0.0061719769862305365
p50,37.125617800218535
p80,38.58028386455237
p90,39.2657887124474
vjerojatnost_zavrsetka_prije_roka,0.10662
vjerojatnost_zavrsetka_u_roku,0.21284
vjerojatnost_kasnjenja,0.78716
ocekivano_kasnjenje,1.4115330031558935
potrebna_rezerva_p80,2.5802838645523707
