broj_iteracija,sjeme,prosjecni_zavrsetak,p50,p80,p90,vjerojatnost_zavrsetka_u_roku,standardna_devijacija,standardna_pogreska_prosjeka
500,42,37.37645903683202,37.16479847971762,38.467412092722086,39.231441002518274,0.198,1.3261399838676067,0.05930678303216886
1000,42,37.42362277183463,37.18931895545249,38.55930262341966,39.26236331292804,0.191,1.378959511378495,0.04360652857108919
2500,42,37.41558209443231,37.172062361781826,38.65423251373733,39.304983049058805,0.2104,1.406786743727677,0.028135734874553543
5000,42,37.3537657778512,37.103628996366766,38.57101055851912,39.27381914240139,0.2192,1.3865901758991466,0.019609346322098684
10000,42,37.361875118532126,37.13680975328268,38.583106209099164,39.25311821019853,0.2175,1.3756487166671987,0.013756487166671987
25000,42,37.379328060164035,37.137927233842504,38.60218594536036,39.2855308831239,0.21372,1.3876191575409091,0.008776074125426567
50000,42,37.37020821993393,37.125617800218535,38.58028386455237,39.2657887124474,0.21284,1.3800960096775763,0.0061719769862305365
