pokazatelj,s1_prije_odgovora,s2_nakon_odgovora,promjena_s2_minus_s1
Prosječni završetak,37.37020821993393,36.25727391533109,-1.1129343046028382
Standardna devijacija,1.3800960096775763,0.7368108710635747,-0.6432851386140016
P50,37.125617800218535,36.0,-1.125617800218535
P80,38.58028386455237,36.85592215320881,-1.7243617113435619
P90,39.2657887124474,37.3562215217564,-1.909567190691
Vjerojatnost završetka u roku,0.21284,0.52272,0.30987999999999993
Očekivano kašnjenje,1.4115330031558935,0.401784900225419,-1.0097481029304745
P80 vremenska rezerva,2.5802838645523707,0.8559221532088088,-1.7243617113435619
