scenarij,prije_roka,tocno_na_roku,nakon_roka,prosjecni_zavrsetak,p80,vjerojatnost_u_roku
Bez prilike P1,0.0,0.19184,0.80816,37.432835891037406,38.58028386455237,0.19184
S prilikom P1,0.10662,0.10622,0.78716,37.37020821993393,38.58028386455237,0.21284
