iteracija,zavrsetak_projekta,prekoracen_rok,T1_ucinak,T1_A1.2_ucinak,T2_ucinak,T3_ucinak,T3_A4.1_ucinak,T4_ucinak,T4_A4.1_ucinak,T5_ucinak,T5_A3.2_ucinak,T6_ucinak,T7_ucinak,T8_ucinak,T8_A3.1_ucinak,T8_A3.2_ucinak,T8_A4.1_ucinak,T8_A5.1_ucinak,T8_A5.2_ucinak,T9_ucinak,T9_A3.1_ucinak,P1_ucinak,P1_A5.2_ucinak
16,36.07200384136585,1,0.0,0.0,0.0,2.0622446646810895,1.0720038413658517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,38.32729143289404,1,0.7234259222122259,0.610016184834126,2.1891305371462555,1.656974732324941,1.6556973841679028,0.9621039512419816,0.4197130271915241,1.2518810215346128,0.35191486259765437,0.37915825155982996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5689516719477227,-0.388198811381367
18,37.07267038984648,1,0.0,0.0,1.1736067279884534,1.8649640035843316,1.1980330291178813,0.6921993494934244,0.5153406370679912,0.0,0.0,1.0437360328008574,1.2345555655215827,0.303121194763071,0.40133548962652127,0.45480119535495733,0.3592967236606033,0.41812540341130466,0.3684238600359099,0.0,0.0,-0.5828975107726687,-0.2795964769316095
19,38.53136737764865,1,0.0,0.0,0.0,2.5294149556801075,0.9470430495216703,1.1150231138812825,0.5323821145669061,2.0519422135600722,0.5125547914737932,0.6192787612749772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,39.25502613079061,1,1.3233887328958729,0.7714603986662493,1.7974710095104565,2.7171491784422326,0.7517338159994404,0.0,0.0,3.5032923147911665,0.7267447457630709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6079266149805191,-0.17551789095217155
22,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,36.06614372154253,1,0.0,0.0,1.0410720051437483,2.567233344275198,1.0661437215425327,0.0,0.0,0.0,0.0,1.1435707422249397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4219074870888043,-0.1941647617345868
24,36.18115300445037,1,0.0,0.0,0.0,2.7264672175653537,1.1811530044503735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,38.313988621470656,1,1.5265029237536667,0.6310863332657664,1.75740895701143,0.0,0.0,1.0952773589450853,0.744118810184532,2.197581760742337,0.5426902555711938,1.1807076095401627,0.0,0.38666131454206915,0.3900909577458457,0.2305163065361656,0.3722880505437875,0.20315984289993022,0.5884116252708068,0.0,0.0,0.0,0.0
